ZCTA,PERCENT_TOTAL,POPULATION,A00_B99_R1000,Benign_R1000,D50_D64_R1000,E00_E99_R1000,G00_G99_R1000,J00_J99_R1000,K00_K99_R1000,N00_N99_R1000,O00_O07_R1000,O10_O99_R1000,P00_P99_R1000,Q00_Q99_R1000,Abnormal_R1000,Residual_R1000,V01_Y89_R1000,SIDS_R1000
ZCTA33707,0.001221313,25143,1.67,0.44,0.24,2.15,4.93,9.51,2.31,1.19,0.00,0.00,0.04,0.08,7.48,10.62,7.28,0.00
ZCTA33860,0.001221653,25150,0.68,0.16,0.00,1.39,1.19,4.93,0.76,0.76,0.00,0.00,0.08,0.20,0.36,4.29,3.46,0.04
ZCTA34482,0.001226219,25244,0.87,0.40,0.12,1.82,2.54,4.08,1.27,0.59,0.00,0.00,0.24,0.08,0.79,3.33,5.74,0.00
ZCTA33755,0.001235983,25445,1.38,0.47,0.08,1.38,1.53,2.95,0.94,0.79,0.00,0.00,0.31,0.28,3.50,3.65,3.69,0.04
ZCTA33709,0.001236468,25455,2.00,0.43,0.04,3.57,2.79,9.90,1.73,1.06,0.00,0.00,0.08,0.27,6.48,7.19,6.25,0.08
ZCTA33703,0.001236566,25457,1.06,0.31,0.04,1.57,2.16,4.20,0.94,0.98,0.00,0.00,0.20,0.12,3.38,4.87,4.60,0.00
ZCTA32563,0.001241083,25550,1.10,0.27,0.23,0.94,2.82,3.91,0.94,0.67,0.00,0.00,0.04,0.00,0.31,6.46,3.17,0.00
ZCTA33712,0.001247106,25674,1.05,0.35,0.04,3.19,1.87,4.52,1.01,1.48,0.00,0.00,0.16,0.04,4.60,5.18,4.17,0.16
ZCTA33770,0.001247786,25688,1.52,0.74,0.00,1.79,2.84,6.38,1.75,1.01,0.00,0.00,0.19,0.16,5.84,7.90,5.06,0.04
ZCTA33805,0.001248806,25709,1.71,0.23,0.08,2.64,2.68,6.18,0.97,0.89,0.04,0.04,0.43,0.35,1.13,9.14,4.08,0.12
ZCTA33331,0.001255850,25854,0.46,0.08,0.00,0.62,1.24,1.28,0.08,0.43,0.00,0.00,0.00,0.00,0.15,1.39,1.28,0.00
ZCTA34982,0.001262019,25981,1.69,0.38,0.08,2.00,2.62,5.93,1.27,0.85,0.00,0.00,0.15,0.08,0.54,6.04,4.97,0.04
ZCTA33629,0.001262893,25999,0.85,0.31,0.04,0.85,3.15,2.65,0.50,0.42,0.00,0.00,0.04,0.08,0.35,6.04,2.27,0.00
ZCTA33484,0.001270034,26146,1.49,1.07,0.19,2.79,6.88,10.14,0.99,2.60,0.00,0.00,0.00,0.00,1.15,12.97,7.11,0.04
ZCTA33543,0.001271297,26172,0.46,0.23,0.04,0.65,1.30,3.06,0.38,0.38,0.00,0.00,0.11,0.08,0.65,3.55,2.25,0.00
ZCTA33314,0.001272074,26188,0.73,0.31,0.04,0.84,0.65,3.09,0.88,0.42,0.00,0.04,0.15,0.11,0.19,2.83,4.16,0.04
ZCTA33625,0.001274697,26242,0.61,0.15,0.08,0.53,2.40,2.48,0.57,0.46,0.00,0.00,0.08,0.11,0.72,4.27,2.71,0.04
ZCTA34606,0.001276251,26274,1.94,0.53,0.08,3.20,4.30,10.47,1.56,1.22,0.00,0.00,0.08,0.19,7.54,9.90,6.77,0.11
ZCTA33764,0.001276640,26282,1.07,0.46,0.08,1.98,1.94,5.52,1.10,0.88,0.00,0.00,0.04,0.11,5.17,5.63,4.60,0.08
ZCTA34986,0.001278340,26317,0.76,0.72,0.08,1.44,4.18,5.28,0.76,0.80,0.00,0.00,0.11,0.19,0.38,4.90,2.93,0.04
ZCTA32177,0.001281254,26377,1.52,0.34,0.11,3.68,2.73,7.05,0.95,1.40,0.00,0.04,0.34,0.27,0.45,8.45,5.27,0.04
ZCTA33470,0.001281594,26384,0.53,0.11,0.00,0.61,1.29,3.07,0.72,0.30,0.00,0.04,0.23,0.19,0.04,3.98,4.47,0.00
ZCTA32962,0.001285723,26469,0.76,0.38,0.00,1.62,2.38,4.68,1.13,0.98,0.00,0.00,0.15,0.00,1.13,4.99,4.23,0.04
ZCTA34638,0.001287812,26512,0.64,0.30,0.00,0.68,1.09,2.11,0.45,0.45,0.00,0.00,0.19,0.08,0.83,2.26,2.23,0.04
ZCTA33825,0.001288492,26526,1.32,0.15,0.11,2.41,2.98,7.31,0.98,0.87,0.00,0.00,0.23,0.08,0.57,5.35,4.11,0.08
ZCTA32789,0.001290532,26568,0.68,0.30,0.04,0.87,2.90,3.05,0.41,0.68,0.00,0.00,0.00,0.08,0.38,4.29,2.52,0.04
ZCTA32757,0.001295924,26679,0.86,0.41,0.15,2.47,3.94,6.00,0.97,0.37,0.00,0.00,0.11,0.15,0.86,7.95,5.14,0.04
ZCTA32927,0.001296312,26687,0.90,0.37,0.07,1.57,1.20,7.08,1.31,0.52,0.00,0.04,0.07,0.07,0.41,5.32,4.83,0.04
ZCTA33406,0.001304619,26858,0.71,0.11,0.00,0.82,1.64,3.05,0.86,0.30,0.00,0.00,0.07,0.07,0.19,3.91,4.73,0.07
ZCTA33189,0.001308456,26937,0.30,0.07,0.07,1.19,2.00,2.30,0.30,0.48,0.00,0.00,0.37,0.04,0.22,3.38,2.23,0.00
ZCTA32250,0.001309379,26956,1.15,0.30,0.04,1.41,1.22,4.34,1.08,0.70,0.00,0.00,0.15,0.15,1.15,8.09,5.16,0.07
ZCTA33441,0.001313945,27050,0.74,0.22,0.15,1.74,1.07,2.96,0.85,1.07,0.00,0.00,0.22,0.15,0.78,4.03,4.70,0.00
ZCTA33618,0.001315451,27081,0.96,0.26,0.04,1.11,3.43,4.14,0.78,0.55,0.00,0.00,0.11,0.00,0.81,7.46,3.21,0.00
ZCTA32937,0.001317637,27126,1.18,0.48,0.11,1.11,2.18,5.90,1.29,0.88,0.00,0.00,0.00,0.11,0.70,8.22,4.24,0.04
ZCTA33584,0.001318948,27153,0.92,0.07,0.15,1.22,1.33,3.94,0.70,0.59,0.00,0.00,0.15,0.07,0.48,4.46,4.24,0.04
ZCTA32168,0.001320551,27186,1.21,0.48,0.07,2.80,3.68,7.95,1.25,0.88,0.00,0.00,0.07,0.07,0.40,7.36,4.97,0.07
ZCTA33028,0.001322931,27235,0.40,0.22,0.11,0.48,1.43,1.69,0.26,0.59,0.00,0.00,0.00,0.07,0.22,1.80,1.36,0.04
ZCTA33971,0.001323903,27255,0.37,0.15,0.04,0.92,0.62,1.61,0.33,0.33,0.00,0.00,0.11,0.22,0.22,1.91,2.90,0.04
ZCTA33569,0.001332306,27428,0.77,0.11,0.07,0.91,1.24,3.28,0.88,0.40,0.00,0.00,0.11,0.11,0.33,4.34,3.28,0.04
ZCTA33837,0.001332306,27428,1.06,0.33,0.15,0.91,1.42,4.12,0.91,0.69,0.00,0.00,0.36,0.07,0.55,4.48,2.30,0.07
